id,title,subtitle,author,publication,published_date,read_time_mins,claps,url,skills,data_skills
7a42cc28cf3a,Airflow for Data Pipeline 101,How to setup an automated data pipeline using Apache Airflow,Juan Nathaniel,Level Up Coding,24/08/2021,4,111,https://levelup.gitconnected.com/airflow-for-data-pipeline-101-7a42cc28cf3a,Apache Airflow; Data Pipeline,
f4299cd3602e,DataHub Project Updates,July 2021 Edition,Shirshanka Das,DataHub Project,25/08/2021,5,163,https://medium.com/datahub-project/datahub-project-updates-f4299cd3602e,,
48ebdf12e9b0,Airflow: Decorators for a Clean Data Pipeline,How to abstract away complexity in your data pipeline…,Juan Nathaniel,Level Up Coding,26/08/2021,4,122,https://levelup.gitconnected.com/airflow-decorators-for-a-clean-data-pipeline-48ebdf12e9b0,Complexity; Data Pipeline,
9641b2cd8c60,NLP & Police Brutality,Realizing a Project,Joshua Elamin,Nerd For Tech,26/08/2021,18,129,https://medium.com/nerd-for-tech/nlp-police-brutality-9641b2cd8c60,Natural Language Processing (NLP),NLP
d803282f71e7,How To Connect To A PostgreSQL Database With Python Using SSH Tunnelling,Learn how to query a…,AnBento,Towards Data Science,27/08/2021,5,729,https://towardsdatascience.com/how-to-connect-to-a-postgresql-database-with-python-using-ssh-tunnelling-d803282f71e7,Database; PostgreSQL; Python; Secure Shell (SSH); jQuery,Python Programming
bbf147d1fa99,Data Scientist vs Data Engineer Salary,What are the differences between these two popular tech roles?,Matt Przybyla,Towards Data Science,28/08/2021,7,224,https://towardsdatascience.com/data-scientist-vs-data-engineer-salary-bbf147d1fa99,,
dcb423c4dee6,Complex tasks orchestration at Hurb with Apache Airflow,How Hurb's Data Engineering team orchestrates…,Vinícius Mello,hurb.engineering,30/08/2021,9,101,https://medium.com/hurb-engineering/complex-tasks-orchestration-at-hurb-with-apache-airflow-dcb423c4dee6,Apache Airflow; Data Engineering,
7a8878182106,Introducing our three roles in Data & Insight at Oda,,Nina Walberg,Oda Product & Tech,31/08/2021,5,232,https://medium.com/oda-product-tech/introducing-our-three-roles-in-data-insight-at-oda-7a8878182106,,
8fa4daee6afc,Stream Your Database Changes with Change Data Capture: Part Two,,Taron Foxworth,Meroxa,01/09/2021,10,106,https://medium.com/meroxa/stream-your-database-changes-with-change-data-capture-part-two-8fa4daee6afc,Data Capture; Database,
11a29ae49a8b,(Over)Pay As You Go for Your Datastore,The expensive pitfalls of using pay as you go datastore…,Boris Cherkasky,Riskified Technology,02/09/2021,8,179,https://medium.com/riskified-technology/over-pay-as-you-go-for-your-datastore-11a29ae49a8b,Golang,
468f771154e6,Data Quality: Timeseries Anomaly Detection at Scale with Thirdeye,,Cyril de Catheu,The AB Tasty Tech & Product Blog,03/09/2021,7,167,https://medium.com/the-ab-tasty-tech-blog/data-quality-timeseries-anomaly-detection-at-scale-with-thirdeye-468f771154e6,Anomaly Detection,
4cf66c761803,Hive Metastore — Why It’s Still Here and What Can Replace it?,A majority of data architectures still…,Paul Singman,Whispering Data,06/09/2021,6,101,https://medium.com/whispering-data/hive-metastore-why-its-still-here-and-what-can-replace-it-4cf66c761803,Apache Hive; Data Architecture,
1c1b368257f4,Data Engineering: Parallel Computing,We have seen how data engineers schedule data.,Clifford Frempong,,06/09/2021,2,223,https://medium.com/@clifflolo/data-engineering-parallel-computing-1c1b368257f4,Data Engineering; Parallel Computing,
b1d997b2ab8c,1 ปีกับการเป็น Data Engineer ที่ LINE MAN Wongnai,เปิดบ้าน Data platform ของ LMWN,Kaew Manussanun,Life@LINE MAN Wongnai,07/09/2021,6,111,https://life.wongnai.com/1-%E0%B8%9B%E0%B8%B5%E0%B8%81%E0%B8%B1%E0%B8%9A%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B9%80%E0%B8%9B%E0%B9%87%E0%B8%99-data-engineer-%E0%B8%97%E0%B8%B5%E0%B9%88-line-man-wongnai-b1d997b2ab8c,Platform,
d96f87a3cc8f,Unit Testing Your Airflow Data Pipeline,Unit test your Airflow pipeline to prevent incorrect code and…,Juan Nathaniel,Level Up Coding,07/09/2021,4,158,https://levelup.gitconnected.com/airflow-unit-testing-for-bug-free-data-pipeline-d96f87a3cc8f,Data Pipeline; TestNG; Testing,
96f46c4e3747,Spread the code: How Jampp’s tech team tackles knowledge-sharing,,Dardo Marasca,jampp-engineering,07/09/2021,6,152,https://medium.com/jampp-engineering/spread-the-code-how-jampps-tech-team-tackles-knowledge-sharing-96f46c4e3747,,
2a7acf59d13b,How to Track Metadata with Airflow Cluster Policies and Task Callbacks,How to use two of Airflow’s…,Jonathan Barda,Towards Data Science,08/09/2021,6,333,https://towardsdatascience.com/airflows-best-kept-secrets-2a7acf59d13b,,
89dfb1129276,From Studying Arabic to Coding in Python: My Journey to Data Science,,Jade Adams,,08/09/2021,4,124,https://medium.com/@jade.adams517/from-studying-arabic-to-coding-in-python-my-journey-to-data-science-89dfb1129276,Coding; Data Science; Python,Python Programming
759068fb43b2,Running Airflow in Docker,Dockerize your Airflow’s data pipeline to ease and speedup deployment and…,Juan Nathaniel,Level Up Coding,09/09/2021,5,119,https://levelup.gitconnected.com/running-airflow-in-docker-759068fb43b2,Data Pipeline; Docker,
bb18206f1782,Understanding Materialized Views — Part 1,"Learn the fundamentals of materialized views, how they…",Dunith Dhanushka,Event-driven Utopia,10/09/2021,6,157,https://medium.com/event-driven-utopia/understanding-materialized-views-bb18206f1782,,
d635e91fe3bc,Top 15 Books Every Data Engineer Should Know in 2021,The article will present essential books to excel in your data engineering journey.,Tech Ninja,Technology Now and Next,11/09/2021,10,339,https://medium.com/technexthere/top-15-books-every-data-engineer-should-know-d635e91fe3bc,Data Engineering; Microsoft Excel,Excel
